Code,Wilaya,Moughataa,Commune,GPS Latitude,GPS Longitude
1,Hodh Chargui,Bassiknou,Bassiknou,,
11,Tiris Zemmour,F'Deirick,F'Deirick,,
11,Tiris Zemmour,F'Deirick,F'Deirick,,
11,Tiris Zemmour,F'Deirick,F'Deirick,,
11,Tiris Zemmour,F'Deirick,F'Deirick,,
11,Tiris Zemmour,F'Deirick,F'Deirick,,
11,Tiris Zemmour,F'Deirick,F'Deirick,,
9,Tagant,Moudjeria,Moudjeria,,
9,Tagant,Moudjeria,Moudjeria,,
9,Tagant,Moudjeria,Moudjeria,,
9,Tagant,Moudjeria,Moudjeria,,
9,Tagant,Moudjeria,Moudjeria,,
9,Tagant,Moudjeria,Moudjeria,,
2,Hodh El Gharbi,Tamcheket,Tamcheket,,
2,Hodh El Gharbi,Tamcheket,Tamcheket,,
2,Hodh El Gharbi,Tamcheket,Tamcheket,,
2,Hodh El Gharbi,Tamcheket,Tamcheket,,
2,Hodh El Gharbi,Tamcheket,Tamcheket,,
2,Hodh El Gharbi,Tamcheket,Tamcheket,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
5,Brakna,Aleg,Aleg,,
3,Assaba,Kiffa,Kiffa,,
5,Brakna,Aleg,Aleg,,
5,Brakna,Aleg,Aleg,,
5,Brakna,Aleg,Aleg,,
5,Brakna,Aleg,Aleg,,
5,Brakna,Aleg,Aleg,,
4,Gorgol,M'Bout,M'Bout,,
4,Gorgol,M'Bout,M'Bout,,
4,Gorgol,M'Bout,M'Bout,,
4,Gorgol,M'Bout,M'Bout,,
4,Gorgol,M'Bout,M'Bout,,
4,Gorgol,M'Bout,M'Bout,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Aleg,Aghchourguit,,
5,Brakna,Aleg,Aghchourguit,,
5,Brakna,Aleg,Aghchourguit,,
5,Brakna,Aleg,Aghchourguit,,
5,Brakna,Aleg,Aghchourguit,,
5,Brakna,Aleg,Aghchourguit,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Dhar,,
1,Hodh Chargui,Bassiknou,Dhar,,
1,Hodh Chargui,Bassiknou,Dhar,,
1,Hodh Chargui,Bassiknou,Dhar,,
1,Hodh Chargui,Bassiknou,Dhar,,
1,Hodh Chargui,Bassiknou,Dhar,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
8,Dakhlet Nouadhibou,Chami,Chami,,
8,Dakhlet Nouadhibou,Chami,Chami,,
8,Dakhlet Nouadhibou,Chami,Chami,,
8,Dakhlet Nouadhibou,Chami,Chami,,
8,Dakhlet Nouadhibou,Chami,Chami,,
8,Dakhlet Nouadhibou,Chami,Chami,,
1,Hodh Chargui,Timbedra,Timbedra,,
1,Hodh Chargui,Timbedra,Timbedra,,
1,Hodh Chargui,Timbedra,Timbedra,,
1,Hodh Chargui,Timbedra,Timbedra,,
1,Hodh Chargui,Timbedra,Timbedra,,
1,Hodh Chargui,Timbedra,Timbedra,,
1,Hodh Chargui,Amourj,Amourj,,
1,Hodh Chargui,Amourj,Amourj,,
1,Hodh Chargui,Amourj,Amourj,,
1,Hodh Chargui,Amourj,Amourj,,
1,Hodh Chargui,Amourj,Amourj,,
1,Hodh Chargui,Amourj,Amourj,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
9,Tagant,Moudjeria,Tamourt Naaj,,
9,Tagant,Moudjeria,Tamourt Naaj,,
9,Tagant,Moudjeria,Tamourt Naaj,,
9,Tagant,Moudjeria,Tamourt Naaj,,
9,Tagant,Moudjeria,Tamourt Naaj,,
9,Tagant,Moudjeria,Tamourt Naaj,,
9,Tagant,Moudjeria,Soudoud,,
9,Tagant,Moudjeria,Soudoud,,
9,Tagant,Moudjeria,Soudoud,,
9,Tagant,Moudjeria,Soudoud,,
9,Tagant,Moudjeria,Soudoud,,
9,Tagant,Moudjeria,Soudoud,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
6,Trarza,Mederdra,Mederdra,,
6,Trarza,Mederdra,Mederdra,,
6,Trarza,Mederdra,Mederdra,,
6,Trarza,Mederdra,Mederdra,,
6,Trarza,Mederdra,Mederdra,,
6,Trarza,Mederdra,Mederdra,,
6,Trarza,R'Kiz,Boutalhaye,,
6,Trarza,R'Kiz,Boutalhaye,,
6,Trarza,R'Kiz,Boutalhaye,,
6,Trarza,R'Kiz,Boutalhaye,,
6,Trarza,R'Kiz,Boutalhaye,,
6,Trarza,R'Kiz,Boutalhaye,,
13,Nouakchott Ouest,Ksar,Ksar,,
13,Nouakchott Ouest,Ksar,Ksar,,
13,Nouakchott Ouest,Ksar,Ksar,,
13,Nouakchott Ouest,Ksar,Ksar,,
13,Nouakchott Ouest,Ksar,Ksar,,
13,Nouakchott Ouest,Ksar,Ksar,,
1,Hodh Chargui,Amourj,Amourj,,
1,Hodh Chargui,Amourj,Amourj,,
1,Hodh Chargui,Amourj,Amourj,,
1,Hodh Chargui,Amourj,Amourj,,
1,Hodh Chargui,Amourj,Amourj,,
1,Hodh Chargui,Amourj,Amourj,,
3,Assaba,Kiffa,El Melgue,,
3,Assaba,Kiffa,El Melgue,,
3,Assaba,Kiffa,El Melgue,,
3,Assaba,Kiffa,El Melgue,,
3,Assaba,Kiffa,El Melgue,,
3,Assaba,Kiffa,El Melgue,,
9,Tagant,Moudjeria,Tamourt Naaj,,
9,Tagant,Moudjeria,Tamourt Naaj,,
9,Tagant,Moudjeria,Tamourt Naaj,,
9,Tagant,Moudjeria,Tamourt Naaj,,
9,Tagant,Moudjeria,Tamourt Naaj,,
9,Tagant,Moudjeria,Tamourt Naaj,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
4,Gorgol,Monguel,Monguel,,
4,Gorgol,Monguel,Monguel,,
4,Gorgol,Monguel,Monguel,,
4,Gorgol,Monguel,Monguel,,
4,Gorgol,Monguel,Monguel,,
4,Gorgol,Monguel,Monguel,,
5,Brakna,Boghé,Ould Biram,,
5,Brakna,Boghé,Ould Biram,,
5,Brakna,Boghé,Ould Biram,,
5,Brakna,Boghé,Ould Biram,,
5,Brakna,Boghé,Ould Biram,,
5,Brakna,Boghé,Ould Biram,,
1,Hodh Chargui,Bassiknou,El Megve,,
1,Hodh Chargui,Bassiknou,El Megve,,
1,Hodh Chargui,Bassiknou,El Megve,,
1,Hodh Chargui,Bassiknou,El Megve,,
1,Hodh Chargui,Bassiknou,El Megve,,
1,Hodh Chargui,Bassiknou,El Megve,,
15,Nouakchott Sud,Riyad,Riyad,,
15,Nouakchott Sud,Riyad,Riyad,,
15,Nouakchott Sud,Riyad,Riyad,,
15,Nouakchott Sud,Riyad,Riyad,,
15,Nouakchott Sud,Riyad,Riyad,,
15,Nouakchott Sud,Riyad,Riyad,,
4,Gorgol,Kaédi,Tifondé Civé,,
4,Gorgol,Kaédi,Tifondé Civé,,
4,Gorgol,Kaédi,Tifondé Civé,,
4,Gorgol,Kaédi,Tifondé Civé,,
4,Gorgol,Kaédi,Tifondé Civé,,
4,Gorgol,Kaédi,Tifondé Civé,,
8,Dakhlet Nouadhibou,Chami,Chami,,
8,Dakhlet Nouadhibou,Chami,Chami,,
8,Dakhlet Nouadhibou,Chami,Chami,,
8,Dakhlet Nouadhibou,Chami,Chami,,
8,Dakhlet Nouadhibou,Chami,Chami,,
8,Dakhlet Nouadhibou,Chami,Chami,,
2,Hodh El Gharbi,Koubenni,Voullaniya,,
2,Hodh El Gharbi,Koubenni,Voullaniya,,
2,Hodh El Gharbi,Koubenni,Voullaniya,,
2,Hodh El Gharbi,Koubenni,Voullaniya,,
2,Hodh El Gharbi,Koubenni,Voullaniya,,
2,Hodh El Gharbi,Koubenni,Voullaniya,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Keur Macène,Keur Macène,,
3,Assaba,Guerou,Guerou,,
3,Assaba,Guerou,Guerou,,
3,Assaba,Guerou,Guerou,,
3,Assaba,Guerou,Guerou,,
3,Assaba,Guerou,Guerou,,
3,Assaba,Guerou,Guerou,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Keur Macène,Keur Macène,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
8,Dakhlet Nouadhibou,Nouadhibou,Nouadhibou,,
8,Dakhlet Nouadhibou,Nouadhibou,Nouadhibou,,
8,Dakhlet Nouadhibou,Nouadhibou,Nouadhibou,,
8,Dakhlet Nouadhibou,Nouadhibou,Nouadhibou,,
8,Dakhlet Nouadhibou,Nouadhibou,Nouadhibou,,
8,Dakhlet Nouadhibou,Nouadhibou,Nouadhibou,,
4,Gorgol,Kaédi,Nere Walo,,
4,Gorgol,Kaédi,Nere Walo,,
4,Gorgol,Kaédi,Nere Walo,,
4,Gorgol,Kaédi,Nere Walo,,
4,Gorgol,Kaédi,Nere Walo,,
4,Gorgol,Kaédi,Nere Walo,,
1,Hodh Chargui,N'beiket Lahwach,N'Beiket Lahwach,,
1,Hodh Chargui,N'beiket Lahwach,N'Beiket Lahwach,,
1,Hodh Chargui,N'beiket Lahwach,N'Beiket Lahwach,,
1,Hodh Chargui,N'beiket Lahwach,N'Beiket Lahwach,,
1,Hodh Chargui,N'beiket Lahwach,N'Beiket Lahwach,,
1,Hodh Chargui,N'beiket Lahwach,N'Beiket Lahwach,,
3,Assaba,Kiffa,Nouamlein,,
3,Assaba,Kiffa,Nouamlein,,
3,Assaba,Kiffa,Nouamlein,,
3,Assaba,Kiffa,Nouamlein,,
3,Assaba,Kiffa,Nouamlein,,
3,Assaba,Kiffa,Nouamlein,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
13,Nouakchott Ouest,Sebkha,Sebkha,,
13,Nouakchott Ouest,Sebkha,Sebkha,,
13,Nouakchott Ouest,Sebkha,Sebkha,,
13,Nouakchott Ouest,Sebkha,Sebkha,,
13,Nouakchott Ouest,Sebkha,Sebkha,,
13,Nouakchott Ouest,Sebkha,Sebkha,,
9,Tagant,Moudjeria,Soudoud,,
9,Tagant,Moudjeria,Soudoud,,
9,Tagant,Moudjeria,Soudoud,,
9,Tagant,Moudjeria,Soudoud,,
9,Tagant,Moudjeria,Soudoud,,
9,Tagant,Moudjeria,Soudoud,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Rosso,Rosso,,
10,Guidimagha,Ghabou,Baydjam,,
10,Guidimagha,Ghabou,Baydjam,,
10,Guidimagha,Ghabou,Baydjam,,
10,Guidimagha,Ghabou,Baydjam,,
10,Guidimagha,Ghabou,Baydjam,,
10,Guidimagha,Ghabou,Baydjam,,
5,Brakna,Boghé,Ould Biram,,
5,Brakna,Boghé,Ould Biram,,
5,Brakna,Boghé,Ould Biram,,
5,Brakna,Boghé,Ould Biram,,
5,Brakna,Boghé,Ould Biram,,
5,Brakna,Boghé,Ould Biram,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Rosso,Rosso,,
6,Trarza,Rosso,Rosso,,
9,Tagant,Moudjeria,Soudoud,,
9,Tagant,Moudjeria,Soudoud,,
9,Tagant,Moudjeria,Soudoud,,
9,Tagant,Moudjeria,Soudoud,,
9,Tagant,Moudjeria,Soudoud,,
9,Tagant,Moudjeria,Soudoud,,
10,Guidimagha,Ghabou,Ghabou,,
10,Guidimagha,Ghabou,Ghabou,,
10,Guidimagha,Ghabou,Ghabou,,
10,Guidimagha,Ghabou,Ghabou,,
10,Guidimagha,Ghabou,Ghabou,,
10,Guidimagha,Ghabou,Ghabou,,
10,Guidimagha,Ghabou,Ghabou,,
10,Guidimagha,Ghabou,Ghabou,,
10,Guidimagha,Ghabou,Ghabou,,
10,Guidimagha,Ghabou,Ghabou,,
10,Guidimagha,Ghabou,Ghabou,,
10,Guidimagha,Ghabou,Ghabou,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Keur Macène,Keur Macène,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
1,Hodh Chargui,N'beiket Lahwach,N'Beiket Lahwach,,
1,Hodh Chargui,N'beiket Lahwach,N'Beiket Lahwach,,
1,Hodh Chargui,N'beiket Lahwach,N'Beiket Lahwach,,
1,Hodh Chargui,N'beiket Lahwach,N'Beiket Lahwach,,
1,Hodh Chargui,N'beiket Lahwach,N'Beiket Lahwach,,
1,Hodh Chargui,N'beiket Lahwach,N'Beiket Lahwach,,
5,Brakna,Magtalahjar,Magtalahjar,,
5,Brakna,Magtalahjar,Magtalahjar,,
5,Brakna,Magtalahjar,Magtalahjar,,
5,Brakna,Magtalahjar,Magtalahjar,,
5,Brakna,Magtalahjar,Magtalahjar,,
5,Brakna,Magtalahjar,Magtalahjar,,
5,Brakna,Magtalahjar,Magtalahjar,,
5,Brakna,Magtalahjar,Magtalahjar,,
5,Brakna,Magtalahjar,Magtalahjar,,
5,Brakna,Magtalahjar,Magtalahjar,,
5,Brakna,Magtalahjar,Magtalahjar,,
5,Brakna,Magtalahjar,Magtalahjar,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
2,Hodh El Gharbi,Koubenni,Koubenni,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
3,Assaba,Kiffa,Kiffa,,
1,Hodh Chargui,Amourj,Amourj,,
1,Hodh Chargui,Amourj,Amourj,,
1,Hodh Chargui,Amourj,Amourj,,
1,Hodh Chargui,Amourj,Amourj,,
1,Hodh Chargui,Amourj,Amourj,,
1,Hodh Chargui,Amourj,Amourj,,
9,Tagant,Moudjeria,Moudjeria,,
9,Tagant,Moudjeria,Moudjeria,,
9,Tagant,Moudjeria,Moudjeria,,
9,Tagant,Moudjeria,Moudjeria,,
9,Tagant,Moudjeria,Moudjeria,,
9,Tagant,Moudjeria,Moudjeria,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
15,Nouakchott Sud,El Mina,El Mina,,
15,Nouakchott Sud,El Mina,El Mina,,
15,Nouakchott Sud,El Mina,El Mina,,
15,Nouakchott Sud,El Mina,El Mina,,
15,Nouakchott Sud,El Mina,El Mina,,
15,Nouakchott Sud,El Mina,El Mina,,
6,Trarza,Keur Macène,M'Balal,,
6,Trarza,Keur Macène,M'Balal,,
6,Trarza,Keur Macène,M'Balal,,
6,Trarza,Keur Macène,M'Balal,,
6,Trarza,Keur Macène,M'Balal,,
6,Trarza,Keur Macène,M'Balal,,
15,Nouakchott Sud,El Mina,El Mina,,
15,Nouakchott Sud,El Mina,El Mina,,
15,Nouakchott Sud,El Mina,El Mina,,
15,Nouakchott Sud,El Mina,El Mina,,
15,Nouakchott Sud,El Mina,El Mina,,
15,Nouakchott Sud,El Mina,El Mina,,
13,Nouakchott Ouest,Sebkha,Sebkha,,
13,Nouakchott Ouest,Sebkha,Sebkha,,
13,Nouakchott Ouest,Sebkha,Sebkha,,
13,Nouakchott Ouest,Sebkha,Sebkha,,
13,Nouakchott Ouest,Sebkha,Sebkha,,
13,Nouakchott Ouest,Sebkha,Sebkha,,
1,Hodh Chargui,Timbedra,Timbedra,,
1,Hodh Chargui,Timbedra,Timbedra,,
1,Hodh Chargui,Timbedra,Timbedra,,
1,Hodh Chargui,Timbedra,Timbedra,,
1,Hodh Chargui,Timbedra,Timbedra,,
1,Hodh Chargui,Timbedra,Timbedra,,
3,Assaba,Barkéol,Barkéol,,
3,Assaba,Barkéol,Barkéol,,
3,Assaba,Barkéol,Barkéol,,
3,Assaba,Barkéol,Barkéol,,
3,Assaba,Barkéol,Barkéol,,
3,Assaba,Barkéol,Barkéol,,
12,Inchiri,Bennechab,M'heijrat,,
12,Inchiri,Bennechab,M'heijrat,,
12,Inchiri,Bennechab,M'heijrat,,
12,Inchiri,Bennechab,M'heijrat,,
12,Inchiri,Bennechab,M'heijrat,,
12,Inchiri,Bennechab,M'heijrat,,
10,Guidimagha,Ghabou,Baydjam,,
10,Guidimagha,Ghabou,Baydjam,,
10,Guidimagha,Ghabou,Baydjam,,
10,Guidimagha,Ghabou,Baydjam,,
10,Guidimagha,Ghabou,Baydjam,,
10,Guidimagha,Ghabou,Baydjam,,
3,Assaba,Boumdeid,Lavtah,,
3,Assaba,Boumdeid,Lavtah,,
3,Assaba,Boumdeid,Lavtah,,
3,Assaba,Boumdeid,Lavtah,,
3,Assaba,Boumdeid,Lavtah,,
3,Assaba,Boumdeid,Lavtah,,
3,Assaba,Barkéol,Barkéol,,
3,Assaba,Barkéol,Barkéol,,
3,Assaba,Barkéol,Barkéol,,
3,Assaba,Barkéol,Barkéol,,
3,Assaba,Barkéol,Barkéol,,
3,Assaba,Barkéol,Barkéol,,
3,Assaba,Boumdeid,Boumdeid,,
3,Assaba,Boumdeid,Boumdeid,,
3,Assaba,Boumdeid,Boumdeid,,
3,Assaba,Boumdeid,Boumdeid,,
3,Assaba,Boumdeid,Boumdeid,,
3,Assaba,Boumdeid,Boumdeid,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
5,Brakna,Boghé,Boghé,,
8,Dakhlet Nouadhibou,Nouadhibou,Nouadhibou,,
8,Dakhlet Nouadhibou,Nouadhibou,Nouadhibou,,
8,Dakhlet Nouadhibou,Nouadhibou,Nouadhibou,,
8,Dakhlet Nouadhibou,Nouadhibou,Nouadhibou,,
8,Dakhlet Nouadhibou,Nouadhibou,Nouadhibou,,
8,Dakhlet Nouadhibou,Nouadhibou,Nouadhibou,,
4,Gorgol,Kaédi,Kaédi,,
4,Gorgol,Kaédi,Kaédi,,
4,Gorgol,Kaédi,Kaédi,,
4,Gorgol,Kaédi,Kaédi,,
4,Gorgol,Kaédi,Kaédi,,
4,Gorgol,Kaédi,Kaédi,,
6,Trarza,Keur Macène,M'Balal,,
6,Trarza,Keur Macène,M'Balal,,
6,Trarza,Keur Macène,M'Balal,,
6,Trarza,Keur Macène,M'Balal,,
