CodeWilaya,Wilaya,Moughataa,Commune
2,Hodh El Gharbi,Koubenni,Leghlig
3,Assaba,Kiffa,Aghorat
10,Guidimagha,Ould Yengé,Leboully
3,Assaba,Barkéol,Bou Lahrath
2,Hodh El Gharbi,Koubenni,Modibougou
4,Gorgol,M'Bout,Voum Legleite
6,Trarza,Rosso,Jedrel Mohguen
1,Hodh Chargui,Djiguenni,El Mebrouk
4,Gorgol,M'Bout,Targuent Ehl Moulaye Ely
1,Hodh Chargui,Néma,Noual
4,Gorgol,M'Bout,Soufa
2,Hodh El Gharbi,Tamcheket,Radhi
0,Etranger,Asie,Emirats Arabes Unis
0,Etranger,Afrique,Guinée Bissau
4,Gorgol,M'Bout,Edebaye Ehel Guelaye
0,Etranger,Europe,France
4,Gorgol,M'Bout,Lahrach
10,Guidimagha,Sélibaby,Ejar
4,Gorgol,M'Bout,N'Djadjbenni Gandega
10,Guidimagha,Sélibaby,Arr
1,Hodh Chargui,Djiguenni,Beneamane1
3,Assaba,Barkéol,R'Dheidhie
4,Gorgol,M'Bout,Chelkhet Tiyab
0,Etranger,Afrique,Gambie
8,Dakhlet Nouadhibou,Chami,Nouamghar
3,Assaba,Kiffa,Kouroudjel
10,Guidimagha,Sélibaby,Wompou
0,Etranger,Afrique,Côte d'Ivoire
7,Adrar,Aoujeft,Maeden
1,Hodh Chargui,Bassiknou,Vassala
5,Brakna,M'Bagne,M'Bagne
4,Gorgol,M'Bout,Tikobra
5,Brakna,M'Bagne,Niabina
3,Assaba,Barkéol,Lebheir
9,Tagant,Tichit,Lekhcheb
5,Brakna,M'Bagne,Edebaye El Hejaj
9,Tagant,Tidjikja,Boubacar Ben Amer
7,Adrar,Chinguitti,Ain Savra
2,Hodh El Gharbi,Tintane,Aweinat Thalle
1,Hodh Chargui,Timbedra,Bousteila
6,Trarza,R'Kiz,Lexeiba2
6,Trarza,Keur Macène,N'Diago
5,Brakna,M'Bagne,Bagodine
14,Nouakchott Nord,Toujounine,Toujounine
6,Trarza,Mederdra,Tiguent
3,Assaba,Barkéol,Laweissi
9,Tagant,Tichit,Tichit
1,Hodh Chargui,Néma,Achemim
1,Hodh Chargui,Timbedra,Koumbi Saleh
3,Assaba,Barkéol,Gueller
7,Adrar,Aoujeft,El Medah
5,Brakna,Aleg,Djellewar
6,Trarza,R'Kiz,Tekane
7,Adrar,Aoujeft,Aoujeft
8,Dakhlet Nouadhibou,Nouadhibou,Inal
10,Guidimagha,Ghabou,Gouraye
7,Adrar,Aoujeft,N'Teirguent
8,Dakhlet Nouadhibou,Nouadhibou,Boulenouar
3,Assaba,Guerou,Kamour
3,Assaba,Guerou,Oudeiy Jrid
3,Assaba,Guerou,El Ghaira
4,Gorgol,Monguel,Melzem Teichet
4,Gorgol,Monguel,Bathet meit
4,Gorgol,Monguel,Azguelem Tiyab
4,Gorgol,Monguel,Boukel
7,Adrar,Atar,Choum
1,Hodh Chargui,Djiguenni,Aoueinat Zbel
2,Hodh El Gharbi,Tamcheket,Guetae Teidoume
2,Hodh El Gharbi,Tamcheket,El Mabrouk
9,Tagant,Tidjikja,Lehsira
0,Etranger,Asie,Arabie Saoudite
4,Gorgol,Kaédi,Ganki
4,Gorgol,Kaédi,Lexeiba1
2,Hodh El Gharbi,Tintane,Ain Varba
2,Hodh El Gharbi,Tintane,Egharghar
10,Guidimagha,Sélibaby,Hassi Chegar
3,Assaba,Kankoussa,Kankoussa
10,Guidimagha,Sélibaby,Tachout
3,Assaba,Kankoussa,Sani
10,Guidimagha,Sélibaby,Ould M'Bonny
3,Assaba,Kankoussa,Blajmil
10,Guidimagha,Ould Yengé,Bouanz
3,Assaba,Kankoussa,Hamed
3,Assaba,Kankoussa,Tenaha
6,Trarza,Boutilimit,Elb Adress
6,Trarza,Boutilimit,El Mouyessar
6,Trarza,Boutilimit,Tenghadej
6,Trarza,Boutilimit,Boutilimit
6,Trarza,Boutilimit,Nebaghiya
6,Trarza,Boutilimit,N'Teichet
6,Trarza,Boutilimit,Ajoueir
10,Guidimagha,Ould Yengé,Lehraj
10,Guidimagha,Ould Yengé,Dafort
2,Hodh El Gharbi,Tintane,Touil
1,Hodh Chargui,Amourj,Adel Bagrou
2,Hodh El Gharbi,Tintane,Lehreijat
4,Gorgol,Kaédi,Tokomadji
5,Brakna,Magtalahjar,Ouad Emmour
5,Brakna,Magtalahjar,Djonabe
